Name,Public,Private,4-year,2-year,Tuition
Creighton University,No,Yes,Yes,No,45638
University of Nebraska-Lincoln,Yes,No,Yes,No,9620
University of Nebraska-Omaha,Yes,No,Yes,No,8136
Chadron State College,Yes,No,Yes,No,7354
Bellevue University,No,Yes,Yes,No,8790
Clarkson College,No,Yes,Yes,No,14880
Nebraska Wesleyan University,No,Yes,Yes,No,39868
"Concordia University, Nebraska",No,Yes,Yes,No,37720
College of Saint Mary,No,Yes,Yes,No,22450
Peru State College,Yes,No,Yes,No,7920
University of Nebraska-Kearney,Yes,No,Yes,No,7960
Wayne State College,Yes,No,Yes,No,7688
Central Community College - Grand Island,Yes,No,No,Yes,3300
Hastings College,No,Yes,Yes,No,34580
Midland University,No,Yes,Yes,No,38300
Union College,No,Yes,Yes,No,27170
North Platte Community College - South Campus,Yes,No,No,Yes,3420
Northeast Community College,Yes,No,No,Yes,3840
Nebraska Methodist College,No,Yes,Yes,No,16147
Metropolitan Community College,Yes,No,No,Yes,3285
York University,No,Yes,Yes,No,20950
Bryan College of Health Sciences,No,Yes,Yes,No,17870
Western Nebraska Community College,Yes,No,No,Yes,2976
Nebraska College of Technical Agriculture,Yes,No,No,Yes,5483
Nebraska Indian Community College,Yes,No,No,Yes,4080
University of Nebraska Medical Center,Yes,No,Yes,No,14720
Little Priest Tribal College,Yes,No,No,Yes,5140
Doane University,No,Yes,Yes,No,38990
University College of Healing Arts,No,Yes,No,Yes,11822
Southeast Community College,Yes,No,No,Yes,3276
